Rk,Tm,Season,G,W,L,W/L%,MP,TeamFG,TeamFGA,TeamFG%,Team2P,Team2PA,Team2P%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamPTS,OpponentFG,OpponentFGA,OpponentFG%,Opponent2P,Opponent2PA,Opponent2P%,Opponent3P,Opponent3PA,Opponent3P%,OpponentFT,OpponentFTA,OpponentFT%,OpponentPTS
1,ATL,2019-20,11,4,7,.364,2665,439,954,.460,332,599,.554,107,355,.301,192,272,.706,1177,433,971,.446,303,581,.522,130,390,.333,233,297,.785,1229
2,GSW,2019-20,12,2,10,.167,2905,475,1091,.435,352,715,.492,123,376,.327,250,291,.859,1323,540,1097,.492,377,680,.554,163,417,.391,210,277,.758,1453
3,HOU,2019-20,11,8,3,.727,2640,441,999,.441,270,490,.551,171,509,.336,252,328,.768,1305,473,1039,.455,325,631,.515,148,408,.363,183,245,.747,1277
4,MIL,2019-20,11,8,3,.727,2665,476,1006,.473,323,553,.584,153,453,.338,218,303,.719,1323,428,1027,.417,264,587,.450,164,440,.373,213,279,.763,1233
5,BRK,2019-20,11,4,7,.364,2690,466,1018,.458,322,620,.519,144,398,.362,209,284,.736,1285,487,1064,.458,353,699,.505,134,365,.367,207,267,.775,1315
6,MIN,2019-20,11,7,4,.636,2715,463,1052,.440,328,615,.533,135,437,.309,228,300,.760,1289,472,1019,.463,343,686,.500,129,333,.387,205,277,.740,1278
7,CHI,2019-20,12,4,8,.333,2880,468,1082,.433,327,659,.496,141,423,.333,212,287,.739,1289,474,1028,.461,341,633,.539,133,395,.337,245,333,.736,1326
8,CHO,2019-20,11,4,7,.364,2665,427,948,.450,289,574,.503,138,374,.369,183,254,.720,1175,484,980,.494,354,615,.576,130,365,.356,153,198,.773,1251
9,DAL,2019-20,11,6,5,.545,2665,446,987,.452,299,552,.542,147,435,.338,217,286,.759,1256,465,1005,.463,332,636,.522,133,369,.360,166,224,.741,1229
10,WAS,2019-20,9,2,7,.222,2160,392,851,.461,283,535,.529,109,316,.345,147,178,.826,1040,392,826,.475,279,526,.530,113,300,.377,183,229,.799,1080
11,DET,2019-20,12,4,8,.333,2880,467,996,.469,325,643,.505,142,353,.402,231,304,.760,1307,510,1046,.488,381,705,.540,129,341,.378,201,257,.782,1350
12,IND,2019-20,11,7,4,.636,2665,475,1003,.474,383,736,.520,92,267,.345,162,194,.835,1204,415,943,.440,293,607,.483,122,336,.363,192,257,.747,1144
13,MEM,2019-20,11,4,7,.364,2665,464,1006,.461,353,674,.524,111,332,.334,171,224,.763,1210,467,1009,.463,326,613,.532,141,396,.356,232,293,.792,1307
14,MIA,2019-20,11,8,3,.727,2665,437,923,.473,298,562,.530,139,361,.385,212,287,.739,1225,412,946,.436,294,534,.551,118,412,.286,212,292,.726,1154
15,CLE,2019-20,11,4,7,.364,2640,421,967,.435,310,618,.502,111,349,.318,205,257,.798,1158,459,980,.468,336,617,.545,123,363,.339,137,183,.749,1178
16,ORL,2019-20,11,4,7,.364,2640,408,969,.421,311,629,.494,97,340,.285,180,229,.786,1093,407,943,.432,295,591,.499,112,352,.318,164,218,.752,1090
17,BOS,2019-20,10,9,1,.900,2400,417,912,.457,287,561,.512,130,351,.370,197,249,.791,1161,379,885,.428,264,545,.484,115,340,.338,196,260,.754,1069
18,PHI,2019-20,11,7,4,.636,2640,452,978,.462,341,640,.533,111,338,.328,179,244,.734,1194,422,918,.460,312,619,.504,110,299,.368,211,299,.706,1165
19,PHO,2019-20,11,7,4,.636,2665,461,970,.475,311,583,.533,150,387,.388,222,276,.804,1294,437,953,.459,328,631,.520,109,322,.339,233,307,.759,1216
20,SAC,2019-20,10,4,6,.400,2400,385,868,.444,255,518,.492,130,350,.371,156,209,.746,1056,411,838,.490,295,524,.563,116,314,.369,165,218,.757,1103
21,DEN,2019-20,11,8,3,.727,2690,431,1003,.430,319,675,.473,112,328,.341,178,234,.761,1152,409,960,.426,297,596,.498,112,364,.308,191,263,.726,1121
22,POR,2019-20,12,4,8,.333,2905,488,1106,.441,343,701,.489,145,405,.358,225,276,.815,1346,480,1094,.439,346,702,.493,134,392,.342,273,340,.803,1367
